KLYS NAME 	 KLYS PHAS 	 SBST PHAS 	 SUM PHAS 	 KLYS PDES 	 SBST PDES 	 SUM PDES 	 FAST FBCK 	 FBCK PHAS 	 FBCK PDES 	 KLYS ENLD 	 PHAS EGAIN 	 LINAC PHAS E 	 PDES EGAIN 	 LINAC PDES E
KLYS:LI02:21 	  -0.39 	  -0.22 	  -0.61 	   0.00 	   0.00 	   0.00 	   0.00 	  -0.61 	   0.00 	 133.05 	 133.05 	   1.32 	 133.05 	   1.32
KLYS:LI02:11 	  -0.29 	  -0.22 	  -0.51 	   0.00 	   0.00 	   0.00 	   0.00 	  -0.51 	   0.00 	 141.90 	 141.90 	   1.46 	 141.90 	   1.46
KLYS:LI02:41 	   0.11 	  -0.22 	  -0.11 	   0.00 	   0.00 	   0.00 	   0.00 	  -0.11 	   0.00 	 228.78 	 228.78 	   1.69 	 228.78 	   1.69
KLYS:LI02:51 	  -0.12 	  -0.22 	  -0.34 	   0.00 	   0.00 	   0.00 	   0.00 	  -0.34 	   0.00 	 200.76 	 200.76 	   1.89 	 200.76 	   1.89
KLYS:LI02:71 	   0.08 	  -0.22 	  -0.14 	   0.00 	   0.00 	   0.00 	   0.00 	  -0.14 	   0.00 	 216.73 	 216.73 	   2.11 	 216.73 	   2.11
KLYS:LI02:81 	   0.00 	  -0.22 	  -0.22 	   0.00 	   0.00 	   0.00 	   0.00 	  -0.22 	   0.00 	 187.23 	 187.23 	   2.30 	 187.23 	   2.30
KLYS:LI03:11 	  -0.32 	 -11.81 	 -12.13 	   0.00 	 -11.53 	 -11.53 	   0.00 	 -12.13 	 -11.53 	 190.29 	 186.04 	   2.48 	 186.45 	   2.48
KLYS:LI03:21 	  -0.65 	 -11.81 	 -12.46 	   0.00 	 -11.53 	 -11.53 	   0.00 	 -12.46 	 -11.53 	 197.83 	 193.18 	   2.68 	 193.84 	   2.68
KLYS:LI03:31 	  -0.18 	 -11.81 	 -11.99 	   0.00 	 -11.53 	 -11.53 	   0.00 	 -11.99 	 -11.53 	 230.38 	 225.35 	   2.90 	 225.74 	   2.90
KLYS:LI03:41 	  -0.75 	 -11.81 	 -12.56 	   0.00 	 -11.53 	 -11.53 	   0.00 	 -12.56 	 -11.53 	 226.77 	 221.35 	   3.12 	 222.20 	   3.13
KLYS:LI03:51 	  -0.46 	 -11.81 	 -12.27 	   0.00 	 -11.53 	 -11.53 	   0.00 	 -12.27 	 -11.53 	 223.01 	 217.92 	   3.34 	 218.52 	   3.35
KLYS:LI03:61 	  -0.81 	 -11.81 	 -12.62 	   0.00 	 -11.53 	 -11.53 	   0.00 	 -12.62 	 -11.53 	 217.17 	 211.93 	   3.55 	 212.79 	   3.56
KLYS:LI03:71 	  -0.47 	 -11.81 	 -12.28 	   0.00 	 -11.53 	 -11.53 	   0.00 	 -12.28 	 -11.53 	 228.95 	 223.71 	   3.78 	 224.33 	   3.78
KLYS:LI03:81 	  -0.50 	 -11.81 	 -12.31 	   0.00 	 -11.53 	 -11.53 	   0.00 	 -12.31 	 -11.53 	 237.43 	 231.96 	   4.01 	 232.64 	   4.01
KLYS:LI04:11 	  -0.56 	 -22.78 	 -23.34 	   0.00 	 -23.05 	 -23.05 	   0.00 	 -23.34 	 -23.05 	 137.05 	 125.84 	   4.14 	 126.11 	   4.14
KLYS:LI04:21 	   2.68 	 -22.78 	 -20.10 	   2.79 	 -23.05 	 -20.26 	   0.00 	 -20.10 	 -20.26 	 155.77 	 146.28 	   4.28 	 146.13 	   4.29
KLYS:LI04:31 	   0.55 	 -22.78 	 -22.23 	   0.00 	 -23.05 	 -23.05 	   0.00 	 -22.23 	 -23.05 	 215.43 	 199.41 	   4.48 	 198.23 	   4.49
KLYS:LI04:41 	   0.66 	 -22.78 	 -22.11 	   0.00 	 -23.05 	 -23.05 	   0.00 	 -22.11 	 -23.05 	 248.85 	 230.54 	   4.71 	 228.98 	   4.71
KLYS:LI04:51 	   0.47 	 -22.78 	 -22.31 	   0.00 	 -23.05 	 -23.05 	   0.00 	 -22.31 	 -23.05 	 224.20 	 207.42 	   4.92 	 206.30 	   4.92
KLYS:LI04:61 	   0.23 	 -22.78 	 -22.55 	   0.00 	 -23.05 	 -23.05 	   0.00 	 -22.55 	 -23.05 	 247.13 	 228.23 	   5.15 	 227.39 	   5.15
KLYS:LI05:11 	  -1.09 	 -34.58 	 -35.67 	   0.00 	 -34.61 	 -34.61 	   0.00 	 -35.67 	 -34.61 	 218.16 	 177.24 	   5.32 	 179.56 	   5.33
KLYS:LI05:31 	  -0.31 	 -34.58 	 -34.89 	   0.00 	 -34.61 	 -34.61 	   0.00 	 -34.89 	 -34.61 	 221.84 	 181.97 	   5.51 	 182.59 	   5.51
KLYS:LI05:41 	  -0.68 	 -34.58 	 -35.26 	   0.00 	 -34.61 	 -34.61 	   0.00 	 -35.26 	 -34.61 	 191.00 	 155.96 	   5.66 	 157.21 	   5.67
KLYS:LI05:61 	   0.36 	 -34.58 	 -34.22 	   0.00 	 -34.61 	 -34.61 	   0.00 	 -34.22 	 -34.61 	 231.46 	 191.40 	   5.85 	 190.51 	   5.86
KLYS:LI05:71 	   0.03 	 -34.58 	 -34.55 	   0.00 	 -34.61 	 -34.61 	   0.00 	 -34.55 	 -34.61 	 212.54 	 175.05 	   6.03 	 174.93 	   6.03
KLYS:LI05:81 	   0.02 	 -34.58 	 -34.56 	   0.00 	 -34.61 	 -34.61 	   0.00 	 -34.56 	 -34.61 	 220.49 	 181.58 	   6.21 	 181.48 	   6.21
KLYS:LI06:21 	  -0.50 	 -33.75 	 -34.26 	   0.00 	 -34.58 	 -34.58 	   0.00 	 -34.26 	 -34.58 	 180.80 	 149.44 	   6.36 	 148.86 	   6.36
KLYS:LI06:31 	  -0.31 	 -33.75 	 -34.06 	   0.00 	 -34.58 	 -34.58 	   0.00 	 -34.06 	 -34.58 	 234.57 	 194.33 	   6.55 	 193.13 	   6.56
KLYS:LI06:61 	  -0.43 	 -33.75 	 -34.18 	   0.00 	 -34.58 	 -34.58 	   0.00 	 -34.18 	 -34.58 	 249.15 	 206.11 	   6.76 	 205.13 	   6.76
KLYS:LI09:11 	 -107.25 	   0.84 	 -106.42 	 120.00 	   1.05 	 121.05 	  89.90 	 -16.52 	 210.95 	 216.88 	 207.93 	   6.97 	 -186.00 	   6.58
KLYS:LI09:21 	  72.16 	   0.84 	  73.00 	 -120.00 	   1.05 	 -118.95 	 -89.70 	 -16.70 	 -208.65 	 230.41 	 220.70 	   7.19 	 -202.20 	   6.37
KLYS:LI09:31 	  -0.05 	   0.84 	   0.78 	   0.00 	   1.05 	   1.05 	   0.00 	   0.78 	   1.05 	 201.16 	 201.14 	   7.39 	 201.12 	   6.57
KLYS:LI09:41 	  -0.31 	   0.84 	   0.52 	   0.00 	   1.05 	   1.05 	   0.00 	   0.52 	   1.05 	 235.51 	 235.50 	   7.63 	 235.47 	   6.81
KLYS:LI09:51 	  -0.89 	   0.84 	  -0.06 	   0.00 	   1.05 	   1.05 	   0.00 	  -0.06 	   1.05 	 190.07 	 190.07 	   7.82 	 190.04 	   7.00
KLYS:LI09:61 	   5.98 	   0.84 	   6.81 	   6.57 	   1.05 	   7.62 	   0.00 	   6.81 	   7.62 	 232.83 	 231.19 	   8.05 	 230.78 	   7.23
KLYS:LI09:71 	  -0.64 	   0.84 	   0.20 	   0.00 	   1.05 	   1.05 	   0.00 	   0.20 	   1.05 	 223.31 	 223.31 	   8.27 	 223.27 	   7.45
KLYS:LI09:81 	  -0.69 	   0.84 	   0.14 	   0.00 	   1.05 	   1.05 	   0.00 	   0.14 	   1.05 	 214.43 	 214.43 	   8.48 	 214.40 	   7.67
KLYS:LI10:11 	  -0.65 	 -57.49 	 -58.14 	   0.00 	 -57.63 	 -57.63 	   0.00 	 -58.14 	 -57.63 	 163.69 	  86.41 	   8.57 	  87.65 	   7.76
KLYS:LI10:31 	  -1.33 	 -57.49 	 -58.81 	   0.00 	 -57.63 	 -57.63 	   0.00 	 -58.81 	 -57.63 	  81.30 	  42.10 	   8.61 	  43.53 	   7.80
KLYS:LI10:51 	   4.75 	 -57.49 	 -52.74 	   0.00 	 -57.63 	 -57.63 	   0.00 	 -52.74 	 -57.63 	 197.92 	 119.83 	   8.73 	 105.98 	   7.91
KLYS:LI10:61 	   0.35 	 -57.49 	 -57.14 	   0.00 	 -57.63 	 -57.63 	   0.00 	 -57.14 	 -57.63 	 209.60 	 113.74 	   8.85 	 112.23 	   8.02
KLYS:LI10:71 	   0.62 	 -57.49 	 -56.87 	   0.00 	 -57.63 	 -57.63 	   0.00 	 -56.87 	 -57.63 	 200.45 	 109.56 	   8.96 	 107.33 	   8.13
