Printout for SDDS file facet_noFF.mat

 ElementName        s             R16            T166           R56            T566     
                    m             m/1             m             m/1             m       
----------------------------------------------------------------------------------------
       _BEG_   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00 
           C   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00 
        B1LE   1.063090e+00   1.200675e-02  -1.200521e-02   9.040973e-05  -4.680550e-17 
       CB1LE   1.063090e+00   1.200675e-02  -1.200521e-02   9.040973e-05  -4.680550e-17 
    CSRD0001   4.929030e+00   9.935067e-02  -9.937142e-02   9.040973e-05   9.866891e-04 
    T202040T   4.929030e+00   9.935067e-02  -9.937142e-02   9.040973e-05   9.866891e-04 
    CSRD0002   5.533970e+00   1.130182e-01  -1.130424e-01   9.040973e-05   1.141086e-03 
    P202042T   5.533970e+00   1.130182e-01  -1.130424e-01   9.040973e-05   1.141086e-03 
    CSRD0003   5.873162e+00   1.206816e-01  -1.207078e-01   9.040973e-05   1.227656e-03 
         M1E   5.873162e+00   1.206816e-01  -1.207078e-01   9.040973e-05   1.227656e-03 
    CSRD0004   6.026445e+00   1.241448e-01  -1.241719e-01   9.040973e-05   1.266778e-03 
         Q1E   6.324545e+00   1.278026e-01  -1.247660e-01   9.040973e-05   1.294574e-03 
         Q1E   6.622645e+00   1.252374e-01  -1.130872e-01   9.040973e-05   1.311012e-03 
    CSRD0005   7.761545e+00   1.036119e-01  -4.562382e-02   9.040973e-05   1.516325e-03 
    CN202069   7.761545e+00   1.036119e-01  -4.562382e-02   9.040973e-05   1.516325e-03 
    CSRD0006   8.011545e+00   9.886489e-02  -3.081494e-02   9.040973e-05   1.561393e-03 
    CH202072   8.011545e+00   9.886489e-02  -3.081494e-02   9.040973e-05   1.561393e-03 
    CSRD0007   8.972445e+00   8.061931e-02   2.610449e-02   9.040973e-05   1.734616e-03 
    CV202082   8.972445e+00   8.061931e-02   2.610449e-02   9.040973e-05   1.734616e-03 
    CSRD0008   9.322445e+00   7.397350e-02   4.683693e-02   9.040973e-05   1.797712e-03 
    CH202085   9.322445e+00   7.397350e-02   4.683693e-02   9.040973e-05   1.797712e-03 
    CSRD0009   9.512445e+00   7.036578e-02   5.809168e-02   9.040973e-05   1.831964e-03 
        YC1E   9.642445e+00   6.789734e-02   6.579230e-02   9.040973e-05   1.855399e-03 
        YC1E   9.772445e+00   6.542890e-02   7.349292e-02   9.040973e-05   1.878834e-03 
    CSRD0010   9.886445e+00   6.326426e-02   8.024577e-02   9.040973e-05   1.899385e-03 
        XC1E   1.001645e+01   6.079582e-02   8.794639e-02   9.040973e-05   1.922821e-03 
        XC1E   1.014645e+01   5.832738e-02   9.564701e-02   9.040973e-05   1.946256e-03 
    CSRD0011   1.041400e+01   5.324714e-02   1.114955e-01   9.040973e-05   1.994488e-03 
         B2E   1.223890e+01  -1.133259e-02   2.495394e-01  -7.609828e-04  -2.540417e-03 
       CB2LE   1.223890e+01  -1.133259e-02   2.495394e-01  -7.609828e-04  -2.540417e-03 
      MSEP1E   1.223890e+01  -1.133259e-02   2.495394e-01  -7.609828e-04  -2.540417e-03 
    CSRD0012   1.243250e+01  -2.136124e-02   2.673648e-01  -7.609828e-04  -2.280671e-03 
         Q2E   1.293250e+01  -4.905577e-02   3.321369e-01  -7.609828e-04  -1.512250e-03 
         Q2E   1.343250e+01  -8.262541e-02   4.426200e-01  -7.609828e-04  -3.803458e-04 
    CSRD0013   1.362615e+01  -9.725284e-02   4.962534e-01  -7.609828e-04   1.720814e-04 
         S1E   1.375115e+01  -1.066945e-01   5.305533e-01  -7.609828e-04   5.286591e-04 
         S1E   1.387615e+01  -1.161361e-01   5.641319e-01  -7.609828e-04   8.852367e-04 
    CSRD0014   1.412656e+01  -1.350505e-01   6.305902e-01  -7.609828e-04   1.599567e-03 
         M3E   1.412656e+01  -1.350505e-01   6.305902e-01  -7.609828e-04   1.599567e-03 
    CSRD0015   1.428375e+01  -1.469229e-01   6.723057e-01  -7.609828e-04   2.047948e-03 
         Q3E   1.464085e+01  -1.681049e-01   7.351798e-01  -7.609828e-04   2.692587e-03 
         Q3E   1.499795e+01  -1.768012e-01   7.310423e-01  -7.609828e-04   2.818152e-03 
    CSRD0016   1.522735e+01  -1.781870e-01   7.064650e-01  -7.609828e-04   2.822338e-03 
         Q3E   1.558445e+01  -1.737003e-01   6.358427e-01  -7.609828e-04   2.871005e-03 
         Q3E   1.594155e+01  -1.563124e-01   5.051739e-01  -7.609828e-04   3.312347e-03 
    CSRD0017   1.618242e+01  -1.404716e-01   3.989744e-01  -7.609828e-04   3.833223e-03 
         S2E   1.656342e+01  -1.154156e-01   2.544802e-01  -7.609828e-04   4.657109e-03 
         S2E   1.694442e+01  -9.035966e-02   1.460397e-01  -7.609828e-04   5.480996e-03 
    CSRD0018   1.716331e+01  -7.596490e-02   9.128365e-02  -7.609828e-04   5.954323e-03 
        XC2E   1.729331e+01  -6.741562e-02   5.876315e-02  -7.609828e-04   6.235439e-03 
        XC2E   1.742331e+01  -5.886634e-02   2.624265e-02  -7.609828e-04   6.516555e-03 
    CSRD0019   1.889790e+01   3.810810e-02  -3.426371e-01  -7.609828e-04   9.705254e-03 
         S3E   1.902290e+01   4.632857e-02  -3.739068e-01  -7.609828e-04   9.975558e-03 
         S3E   1.914790e+01   5.454903e-02  -4.051765e-01  -7.609828e-04   1.024586e-02 
    CSRD0020   1.938760e+01   7.031259e-02  -4.651393e-01  -7.609828e-04   1.076420e-02 
         Q4E   1.974470e+01   9.187561e-02  -5.403896e-01  -7.609828e-04   1.141712e-02 
         Q4E   2.010180e+01   1.089216e-01  -5.845733e-01  -7.609828e-04   1.182685e-02 
    CSRD0021   2.033120e+01   1.182282e-01  -6.022336e-01  -7.609828e-04   1.201563e-02 
         Q4E   2.068830e+01   1.296903e-01  -6.116818e-01  -7.609828e-04   1.220400e-02 
         Q4E   2.104539e+01   1.347762e-01  -5.847069e-01  -7.609828e-04   1.224524e-02 
    CSRD0022   2.127479e+01   1.359244e-01  -5.557974e-01  -7.609828e-04   1.224811e-02 
         Q4E   2.163189e+01   1.343559e-01  -4.941592e-01  -7.609828e-04   1.225680e-02 
         Q4E   2.198899e+01   1.261817e-01  -4.016473e-01  -7.609828e-04   1.235523e-02 
    CSRD0023   2.222869e+01   1.185502e-01  -3.301997e-01  -7.609828e-04   1.247672e-02 
         M4E   2.222869e+01   1.185502e-01  -3.301997e-01  -7.609828e-04   1.247672e-02 
       D6EA1   2.222869e+01   1.185502e-01  -3.301997e-01  -7.609828e-04   1.247672e-02 
         S3E   2.235369e+01   1.145705e-01  -2.929408e-01  -7.609828e-04   1.254007e-02 
         S3E   2.247869e+01   1.105907e-01  -2.556820e-01  -7.609828e-04   1.260343e-02 
    CSRD0024   2.266627e+01   1.046186e-01  -1.997704e-01  -7.609828e-04   1.269849e-02 
        YC2E   2.273427e+01   1.024537e-01  -1.795016e-01  -7.609828e-04   1.273296e-02 
        YC2E   2.280227e+01   1.002887e-01  -1.592328e-01  -7.609828e-04   1.276742e-02 
    CSRD0025   2.295870e+01   9.530834e-02  -1.126062e-01  -7.609828e-04   1.284670e-02 
         Q5E   2.317290e+01   8.909533e-02  -4.996227e-02  -7.609828e-04   1.293709e-02 
         Q5E   2.338710e+01   8.404426e-02   1.086684e-02  -7.609828e-04   1.299689e-02 
